businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,成都,北京世纪德辰通信技术有限公司,北京世纪德辰,150-500人,2018/5/23 10:57,高新区,本科,"硬件,其他",[],全职,4348822,6k-12k,3-5年
,成都,上海优啦金融信息服务有限公司,优啦金服,50-150人,2018/5/21 9:41,高新区,本科,"移动互联网,金融",[],全职,3436216,4k-8k,1-3年
"['玉林', '小天竺', '跳伞塔']",成都,北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,2018/5/23 9:59,武侯区,本科,金融,"['金融', '大数据', '业务运营', '建模', '量化']",全职,3483906,20k-25k,3-5年
['石羊'],成都,四川锦程消费金融有限责任公司,锦程消费金融公司,150-500人,2018/5/22 9:52,高新区,本科,金融,"['银行', '大数据']",全职,2040526,6k-10k,不限
,成都,成都市映潮科技股份有限公司,映潮科技,50-150人,2018/5/17 19:23,高新区,本科,数据服务,[],全职,4290110,5k-8k,1-3年
,成都,重庆软维科技有限公司,软维科技,50-150人,2018/5/7 9:15,武侯区,大专,移动互联网,[],全职,4350518,6k-10k,3-5年
"['春熙路', '红星路']",成都,北京数起科技有限公司,数起科技,50-150人,2018/5/16 20:06,锦江区,本科,移动互联网,[],全职,4553975,6k-8k,3-5年
,成都,汇金永信保险销售服务有限公司锦江牛王庙营业部,汇金永信牛王庙营业部,少于15人,2018/5/4 15:41,,本科,"金融,其他",[],全职,4520706,10K-15K,3-5年
,成都,成都数联铭品科技有限公司,BBD,150-500人,2018/5/16 11:54,高新区,本科,"电子商务,数据服务","['金融', '风控', '大数据', '数据挖掘']",全职,3950774,15k-20k,1-3年
,成都,杭州笑联科技有限公司,笑联科技,15-50人,2018/5/21 9:49,高新区,本科,"移动互联网,生活服务",[],全职,4158800,15k-30k,3-5年
